crop	disease	candidate_rows	kept_rows
Mugo Pine	Diplodia Sapinea De Not.	13	13
Lowbush Blueberry	Leaf And Flower Gall	13	13
Buckeye	Guignardia Blotch Of Buckeyes And Horsechestnuts	13	13
Oak Lecanium	Hirsutella Fungus	13	13
Juniper	Phomopsis Cankers And Twig Blights	13	13
Redvein Enkianthus	Phyllosticta Leaf Spots	13	13
Orange Coneflower	Downy Mildew	13	13
Blue Spruce	Rhizosphaera Needle Cast	13	13
Maple	Maple Cankers	13	13
Limber Pine	Fungus	13	13
Tree-Of-Heaven	Verticillium Wilt	13	13
Bleeding Heart	Tobacco Rattle Virus	13	13
Hosta	Tobacco Rattle Virus	13	13
Lettuce	Southern Blight	13	13
Tomato	Verticillium Wilts	13	13
Epimedium	Tobacco Rattle Virus	13	13
Italian Cypress	Phyllosticta Leaf Spots	13	13
Rhododendrons And Azaleas	Bitter Rot And Anthracnose	12	12
Lettuce	Sclerotinia Stem Rot	12	12
Melon	Fusarium Wilts, Blights, Rots And Damping-Off	12	12
Sweet Cherry	Brown Rot	12	12
Onions	Downy Mildew	12	12
Lettuce	Rhizoctonia Damping-Off, Blight And Rot	12	12
Spinach	White Rust	12	12
Rose	Black Spot	12	12
Aspen/Poplar	Marssonina Leaf Spots	12	12
Acidified Potato Dextrose Agar (Apda)	Leaf And Sheath Spot	12	12
Eastern White Pine	Caliciopsis Canker	12	12
Camellia	Camellia Flower Blight	12	12
Soybean	Septoria Leaf Spot	12	12
Corn	Anthracnose	12	12
Soybean	Genus Diaporthe	12	12
Corn	Downy Mildew	12	12
Grape	Grape Anthracnose	12	12
Cabbage	Bacterial Soft Rot	12	12
Forsythia	Phomopsis Cankers And Twig Blights	12	12
Elm	Black Spot Of Elm	12	12
Pepper	Alternaria Black Molds / Stem Cankers	12	12
Common Lilac	Anthracnose	12	12
Oak	Coryneum Twig Blight	12	12
Oak	Anthracnose	12	12
Highbush Blueberry	Twig Canker	12	12
Witch-Hazel	Gonatobotryum Fungus	12	12
Rhododendrons And Azaleas	Guignardia Blotch	12	12
Soft Scales	Hirsutella Fungi	12	12
Shepherd'S-Purse	Downy Mildew	12	12
Common Ninebark	Powdery Mildew	12	12
Alumroot	Rust	12	12
Ash	Ash Rusts	12	12
Curly Dock	Ramularia Leaf Spot	12	12
Maple	Tar Spot Of Maple	12	12
European Birch	Septoria Leaf Spot	12	12
Parsley	Septoria Leaf Spot	12	12
Balsam Fir	Fir-Fern Rust	12	12
Kentucky Bluegrass	Ascochyta Fungi	12	12
V8 Agar	Phytophthora Blight	12	12
Sweet Potato	Fusarium Wilt	12	12
Turnip	Club Root Of Crucifers	12	12
Tomato	Bacterial Wilt	12	12
Deadwood And Snags	Wood Decay	12	12
Crimson Fountaingrass	Take-All Root Rot	12	12
Oak	Polypore Fungus	11	11
Garden Onion	Black Mold	11	11
Lettuce	Cercospora Leaf Spot	11	11
Squash	Fusarium Wilts, Blights, Rots And Damping-Off	11	11
Rose	Powdery Mildew	11	11
Potato	Early Blight	11	11
Corn	Bacterial Rot And Blight	11	11
Garden Onion	Fusarium Damping-Off	11	11
Kentucky Bluegrass	Spring Dead Spot	11	11
Soybean	Brown Stem Rot	11	11
Camellia	Sudden Oak Death	11	11
Tongavine	Phytophthora Tropicalis	11	11
Acidified Potato Dextrose Agar (Apda)	Rhizoctonia Damping-Off, Blight And Rot	11	11
Sugar Beet	Beet Necrotic Yellow Vein Virus	11	11
